Index,TeamA,TeamB,Datetime
0,Germany,Scotland,2024-06-14 21:00:00
1,Hungary,Switzerland,2024-06-15 15:00:00
2,Spain,Croatia,2024-06-15 18:00:00
3,Italy,Albania,2024-06-15 21:00:00
4,Poland,Netherlands,2024-06-16 15:00:00
5,Slovenia,Denmark,2024-06-16 18:00:00
6,Serbia,England,2024-06-16 21:00:00
7,Romania,Ukraine,2024-06-17 15:00:00
8,Belgium,Slovakia,2024-06-17 18:00:00
9,Austria,France,2024-06-17 21:00:00
10,Turkey,Georgia,2024-06-18 18:00:00
11,Portugal,Czech Republic,2024-06-18 21:00:00
12,Croatia,Albania,2024-06-19 15:00:00
13,Germany,Hungary,2024-06-19 18:00:00
14,Scotland,Switzerland,2024-06-19 21:00:00
15,Slovenia,Serbia,2024-06-20 15:00:00
16,Denmark,England,2024-06-20 18:00:00
17,Spain,Italy,2024-06-20 21:00:00
18,Slovakia,Ukraine,2024-06-21 15:00:00
19,Poland,Austria,2024-06-21 18:00:00
20,Netherlands,France,2024-06-21 21:00:00
21,Georgia,Czech Republic,2024-06-22 15:00:00
22,Turkey,Portugal,2024-06-22 18:00:00
23,Belgium,Romania,2024-06-22 21:00:00
24,Switzerland,Germany,2024-06-23 21:00:00
25,Scotland,Hungary,2024-06-23 21:00:00
26,Albania,Spain,2024-06-24 21:00:00
27,Croatia,Italy,2024-06-24 21:00:00
28,Netherlands,Austria,2024-06-25 18:00:00
29,France,Poland,2024-06-25 18:00:00
30,England,Slovenia,2024-06-25 21:00:00
31,Denmark,Serbia,2024-06-25 21:00:00
32,Slovakia,Romania,2024-06-26 18:00:00
33,Ukraine,Belgium,2024-06-26 18:00:00
34,Georgia,Portugal,2024-06-26 21:00:00
35,Czech Republic,Turkey,2024-06-26 21:00:00
